video_id,audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
wQA68Oqr1qE,0.4,150,0.05,45,15,60,4,730,7,3,75.0,33.3,53.0,75.0,0.0,75.3,75.0,33.3,75.3,0.0,0.0
wQA68Oqr1qE,0.4,150,0.05,30,10,40,4,730,9,3,50.0,33.3,81.2,25.0,66.7,83.6,50.0,66.7,83.6,25.0,0.0
wQA68Oqr1qE,0.4,150,0.05,20,5,25,4,730,10,4,0.0,100.0,83.9,25.0,75.0,86.3,0.0,100.0,86.3,-25.0,0.0
wQA68Oqr1qE,0.4,150,0.05,15,5,20,4,730,11,4,0.0,100.0,86.7,25.0,75.0,89.0,0.0,100.0,89.0,-25.0,0.0
wQA68Oqr1qE,0.4,150,0.1,45,15,60,9,730,7,3,55.6,33.3,53.0,55.6,0.0,75.3,66.7,0.0,75.3,0.0,-11.1
wQA68Oqr1qE,0.4,150,0.1,30,10,40,9,730,9,3,33.3,33.3,81.2,22.2,33.3,83.6,33.3,33.3,83.6,11.1,0.0
wQA68Oqr1qE,0.4,150,0.1,20,5,25,9,730,10,4,22.2,50.0,83.9,22.2,50.0,86.3,11.1,75.0,86.3,0.0,11.1
wQA68Oqr1qE,0.4,150,0.1,15,5,20,9,730,11,4,22.2,50.0,86.7,22.2,50.0,89.0,0.0,100.0,89.0,0.0,22.2
wQA68Oqr1qE,0.4,150,0.15,45,15,60,13,730,7,3,53.8,33.3,53.0,46.2,0.0,75.3,61.5,0.0,75.3,7.6,-7.7
wQA68Oqr1qE,0.4,150,0.15,30,10,40,13,730,9,3,30.8,33.3,81.2,23.1,33.3,83.6,23.1,33.3,83.6,7.7,7.7
wQA68Oqr1qE,0.4,150,0.15,20,5,25,13,730,10,4,23.1,50.0,83.9,23.1,50.0,86.3,15.4,75.0,86.3,0.0,7.7
wQA68Oqr1qE,0.4,150,0.15,15,5,20,13,730,11,4,23.1,50.0,86.7,23.1,50.0,89.0,7.7,75.0,89.0,0.0,15.4
wQA68Oqr1qE,0.4,200,0.05,45,15,60,4,730,7,3,75.0,33.3,53.0,75.0,0.0,75.3,75.0,33.3,75.3,0.0,0.0
wQA68Oqr1qE,0.4,200,0.05,30,10,40,4,730,9,3,50.0,33.3,81.2,25.0,66.7,83.6,50.0,66.7,83.6,25.0,0.0
wQA68Oqr1qE,0.4,200,0.05,20,5,25,4,730,10,4,0.0,100.0,83.9,25.0,75.0,86.3,0.0,100.0,86.3,-25.0,0.0
