audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.4,150,0.05,45,15,60,60.94,42.82,31.14,36.3,40.52,40.76,38.28,49.22,32
0.4,200,0.05,45,15,60,60.94,42.82,30.62,36.14,40.59,40.85,39.06,49.22,32
0.4,150,0.15,45,15,60,60.62,40.9,15.94,24.06,40.52,40.76,45.02,49.32,32
0.4,200,0.15,45,15,60,60.62,40.9,15.42,23.49,40.59,40.85,45.46,49.32,32
0.4,150,0.1,45,15,60,59.81,42.02,22.4,28.75,40.52,40.76,41.32,48.44,32
0.4,200,0.1,45,15,60,59.81,42.02,21.88,28.4,40.59,40.85,42.02,48.44,32
0.4,150,0.15,30,10,40,56.92,37.79,32.01,28.12,42.81,36.19,41.28,43.76,32
0.4,250,0.15,45,15,60,56.38,42.63,14.38,23.42,44.08,41.89,41.22,45.08,32
0.4,250,0.05,45,15,60,56.25,44.63,29.58,36.53,44.08,41.89,34.38,44.53,32
0.4,250,0.1,45,15,60,55.99,43.36,20.83,28.57,44.08,41.89,38.2,44.62,32
0.4,200,0.15,30,10,40,55.81,39.07,33.31,30.06,43.65,37.31,40.61,42.86,32
0.5,150,0.15,45,15,60,54.93,38.88,26.77,34.39,48.48,36.6,35.5,33.64,32
0.5,200,0.15,45,15,60,54.93,38.88,26.25,33.9,48.56,36.7,35.5,33.2,32
0.4,250,0.15,30,10,40,54.88,39.16,31.22,29.98,44.59,36.93,40.16,41.21,32
0.4,150,0.15,20,5,25,54.3,35.27,61.16,23.99,45.69,31.36,25.69,20.97,32
0.4,150,0.1,30,10,40,53.77,39.97,41.11,34.63,42.81,36.19,33.86,39.64,32
0.4,300,0.15,45,15,60,53.26,42.98,14.38,23.42,47.2,42.22,38.1,41.96,32
0.4,350,0.15,45,15,60,53.26,42.98,14.38,23.42,47.2,42.22,38.1,41.96,32
0.5,150,0.15,30,10,40,53.26,37.76,41.06,30.8,52.71,34.29,34.04,33.44,32
0.4,300,0.05,45,15,60,53.12,44.96,29.58,36.53,47.2,42.22,31.25,41.41,32
0.4,350,0.05,45,15,60,53.12,44.96,29.58,36.53,47.2,42.22,31.25,41.41,32
0.4,200,0.15,20,5,25,52.96,34.73,60.56,24.38,47.22,30.61,24.79,21.0,32
0.4,300,0.1,45,15,60,52.86,43.68,20.83,28.57,47.2,42.22,35.07,41.5,32
0.4,350,0.1,45,15,60,52.86,43.68,20.83,28.57,47.2,42.22,35.07,41.5,32
0.5,200,0.15,30,10,40,52.81,37.63,40.63,30.51,53.19,34.35,33.82,32.77,32
0.4,200,0.1,30,10,40,52.39,41.31,42.67,36.09,43.65,37.31,33.17,38.6,32
0.5,150,0.1,45,15,60,52.39,40.27,34.58,33.92,48.48,36.6,28.56,27.92,32
0.5,200,0.1,45,15,60,52.39,40.27,34.06,33.55,48.56,36.7,28.56,27.58,32
0.4,150,0.1,20,5,25,52.3,36.83,71.03,25.98,45.69,31.36,20.36,19.76,32
0.5,150,0.1,30,10,40,52.17,40.29,52.38,33.7,52.71,34.29,28.39,32.04,32
