video_id,window_config,window_lead,window_tail,window_total,audio_threshold,visual_threshold,top_percentile,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
wQA68Oqr1qE,original_60s,45,15,60,0.5,150,0.15,13,730,6,1,0.0,100.0,91.8,23.1,0.0,91.8,15.4,0.0,91.8,-23.1,-15.4
wQA68Oqr1qE,compact_40s,30,10,40,0.5,150,0.15,13,730,6,1,0.0,100.0,94.5,15.4,0.0,94.5,7.7,0.0,94.5,-15.4,-7.7
wQA68Oqr1qE,tight_25s,20,5,25,0.5,150,0.15,13,730,7,2,7.7,50.0,93.2,23.1,0.0,93.2,0.0,100.0,93.2,-15.4,7.7
wQA68Oqr1qE,minimal_20s,15,5,20,0.5,150,0.15,13,730,7,2,7.7,50.0,94.5,23.1,0.0,94.5,0.0,100.0,94.5,-15.4,7.7
8PtsKRBgLrA,original_60s,45,15,60,0.5,150,0.15,13,858,5,4,69.2,50.0,37.8,30.8,75.0,72.0,7.7,75.0,72.0,38.4,61.5
8PtsKRBgLrA,compact_40s,30,10,40,0.5,150,0.15,13,858,8,7,53.8,71.4,50.0,23.1,85.7,67.4,23.1,57.1,67.4,30.7,30.7
8PtsKRBgLrA,tight_25s,20,5,25,0.5,150,0.15,13,858,13,12,61.5,75.0,62.7,23.1,75.0,65.0,38.5,66.7,65.0,38.4,23.0
8PtsKRBgLrA,minimal_20s,15,5,20,0.5,150,0.15,13,858,14,13,61.5,69.2,69.7,15.4,84.6,69.7,38.5,84.6,69.7,46.1,23.0
Tqsz6fjvhZM,original_60s,45,15,60,0.5,150,0.15,14,1030,1,0,0.0,0.0,100.0,0.0,100.0,94.2,21.4,0.0,94.2,0.0,-21.4
Tqsz6fjvhZM,compact_40s,30,10,40,0.5,150,0.15,14,1030,1,0,0.0,0.0,100.0,0.0,100.0,94.2,21.4,0.0,94.2,0.0,-21.4
Tqsz6fjvhZM,tight_25s,20,5,25,0.5,150,0.15,14,1030,1,0,0.0,0.0,100.0,0.0,100.0,94.2,21.4,0.0,94.2,0.0,-21.4
Tqsz6fjvhZM,minimal_20s,15,5,20,0.5,150,0.15,14,1030,1,0,0.0,0.0,100.0,0.0,100.0,94.2,21.4,0.0,94.2,0.0,-21.4
z12bz7adLKI,original_60s,45,15,60,0.5,150,0.15,13,501,4,2,46.2,50.0,73.4,23.1,50.0,76.0,23.1,50.0,76.0,23.1,23.1
z12bz7adLKI,compact_40s,30,10,40,0.5,150,0.15,13,501,4,2,38.5,50.0,80.3,23.1,50.0,84.0,23.1,50.0,84.0,15.4,15.4
z12bz7adLKI,tight_25s,20,5,25,0.5,150,0.15,13,501,5,3,38.5,33.3,80.8,23.1,66.7,85.0,0.0,100.0,85.0,15.4,38.5
z12bz7adLKI,minimal_20s,15,5,20,0.5,150,0.15,13,501,6,4,38.5,50.0,84.0,15.4,75.0,84.0,23.1,75.0,84.0,23.1,15.4
